front,back,hint
"Eilen / viime viikolla","yesterday / last week","Eilen kävin kaupassa."
"Haluaisin varata ajan","I would like to book an appointment","Haluaisin varata ajan lääkärille."
"Hetki, mä tarkistan","One moment, I'll check","Hetki, mä tarkistan."
"Kerro itsestäsi","Tell (about) yourself","Kerro itsestäsi: perheestä ja asunnosta."
"Kiitos etukäteen avusta","Thanks in advance for your help","Kiitos etukäteen avusta."
"Minulla ei ole perhettä Suomessa","I don't have family in Finland","Minulla ei ole perhettä Suomessa, mutta minulla on iso suku."
"Minun mielestäni","In my opinion","Minun mielestäni asunto on kiva."
"Mistä sinä pidät?","What do you like?","Mistä sinä pidät?"
"Mä ottaisin tän takin","I'll take this jacket","Mä ottaisin tän takin."
"Olen samaa mieltä, mutta minusta","I agree, but I think","Olen samaa mieltä, mutta minusta se on vaikeaa."
"Olen samalla kurssilla Alexin kanssa","I'm on the same course with Alex","Olen samalla kurssilla Pedron ja Alexin kanssa."
"Onks tästä vihreää?","Do you have this in green?","Onks tästä vihreää?"
"Onks tätä mustana?","Do you have this in black?","Onks tätä myös mustana?"
"Tarvitsen","I need","Tarvitsen apua."
"Tänään aion","Today I'm going to","Tänään aion opiskella."
"Voisitko auttaa minua","Could you help me","Voisitko auttaa minua?"
"Voisitko kertoa, miten","Could you tell me how","Voisitko kertoa, miten pääsen asemalle?"
"Voisitko toistaa / puhua hitaammin?","Could you repeat / speak more slowly?","En ymmärrä. Voisitko toistaa?"
"Ystävällisin terveisin,","Kind regards,","Ystävällisin terveisin, Alex."
"lasta","child (partitive)","Kuinka monta lasta?"
"miestä","man (partitive)","9 pitkää miestä."
"mä vaan katselen","I'm just looking","Kiitos, mä vaan katselen."
"onks täältä ällä","do you have this in size L? (spoken)","Anteeksi, onks täältä ällä?"
"siitä","about it / from it (elative)","Minä pidän siitä."
