front,back,hint
"vanheta","to age (verb)","vanhenen → vanhene (connegative)"
"mitään","anything (in negative)","Tuula ei syö aamulla mitään."
"osata","know how to / can","Osaatko sinä uida?"
"Ruoan jälkeen","after the meal","Ruoan jälkeen lapset haluavat katsoa televisiota."
"varttia vaille viisi","quarter to five","Kello on varttia vaille viisi."
"suoraan","directly / straight","Nähdään suoraan uimahallilla."
"muro","cereal","Lapset syövät yleensä muroja."
"kamala","terrible / awful","Minulla on kamala nälkä."
"Käyks viideltä?","How about at five?","Käyks viideltä? Joo, sopii!"
"Mä tuun suoraan töistä.","I'll come straight from work.","Mä tuun suoraan töistä."
"No sopiks viideltä?","So does five o'clock work?","No sopiks viideltä? Joo, sopii!"
"Missä me nähään?","Where do we meet? (spoken)","Missä me nähään?"
"Missä nähdään?","Where do we meet?","Missä nähdään?"
"Nähdään suoraan uimahallilla.","See you right at the swimming hall.","Nähdään suoraan uimahallilla."
"voinko häiritä sinua?","can I bother you?","Anteeksi, voinko häiritä sinua?"
"tavallinen","ordinary / usual","Kerro: Minun tavallinen päivä."
"Minä herään kello 6, kun herätyskello soi","I wake up at 6 when the alarm rings","Minä herään kello 6, kun herätyskello soi."
"Ensiksi käyn suihkussa","First I take a shower","Ensiksi käyn suihkussa ja puen sitten päälle."
"puen sitten päälle","then I get dressed","Ensiksi käyn suihkussa ja puen sitten päälle."
"Sen jälkeen teen keittiössä aamupalaa","After that I make breakfast in the kitchen","Sen jälkeen teen keittiössä aamupalaa."
"luen lehteä","I read the newspaper","Sen jälkeen luen lehteä."
"Sitten sanomme ""hyvää yötä""","Then we say good night","Sitten sanomme ""hyvää yötä"" ja lapset menevät nukkumaan."
"lapset menevät nukkumaan.","the children go to bed","Sitten sanomme hyvää yötä ja lapset menevät nukkumaan."
"Lapset syövät yleensä muroja","The children usually eat cereal","Lapset syövät yleensä muroja ja minä syön leipää."
"Illalla katsomme televisiota.","In the evening we watch TV","Illalla katsomme televisiota."
"Yhdeksältä lapset pesevät hampaat","At nine the children brush their teeth","Yhdeksältä lapset pesevät hampaat."
"Sopii kelle","Does it work for you? / Who does it suit?","Sopii kelle? Joo, sopii!"
