front,back,hint
"Missä","where (location; in/at/on)","Missä sinä asut?"
"on iso pöytä? Keittiössä","is there a big table? in the kitchen","Missä on iso pöytä? Keittiössä on iso pöytä."
"Mistä","from where","Mistä mies tulee? Hän tulee terassilta."
"mies nostaa laatikkoa? autosta.","does the man lift a box? from the car","Mistä mies nostaa laatikkoa? Mies nostaa laatikkoa autosta."
"Mihin","to where","Mihin sinä menet tänään?"
"hän menee? kauppaan.","does he/she go? to the store","Mihin hän menee? Hän menee kauppaan."
"on matto? Lattialla.","is there a rug? on the floor","Missä on matto? Lattialla on matto."
"mies tulee? terassilta.","does the man come? from the terrace","Mistä mies tulee? Mies tulee terassilta."
"viet tämän lampun? Vie vaikka pöydälle.","will you take this lamp? Take it to the table.","Mihin viet tämän lampun? Vie vaikka tämä lamppu pöydälle."
"hylly","shelf","Huoneessa on sohva, pöytä ja hylly."
"Keittiössä ei ole isoa pöytää.","There isn't a big table in the kitchen.","Keittiössä ei ole isoa pöytää."
"Suomessa ei ole kuningasta.","There is no king in Finland.","Suomessa ei ole kuningasta."
"Mikä tuo on? Entä nämä?","What's that? And these?","Mikä tuo on? Entä nämä?"
"Katso, tämä näyttää hyvältä!","Look, this looks good!","Katso, tämä näyttää hyvältä!"
"Hän menee kauppaan.","He/she goes to the store.","Hän menee kauppaan."
"Hän menee torille.","He/she goes to the market square.","Hän menee torille."
"Hän käy kaupassa.","He/she visits/goes to the store.","Hän käy kaupassa."
"Hän käy torilla.","He/she visits/goes to the market square.","Hän käy torilla."
"Valoisassa asunnossa on kolme huonetta.","There are three rooms in the bright apartment.","Valoisassa asunnossa on kolme huonetta."
"Millaisessa talossa sinä asut?","What kind of house do you live in?","Millaisessa talossa sinä asut?"
"Mihin?","to where?","Mihin hän menee? Hän menee kauppaan."
"kotiin, sisään, ulos","home; inside; out","Menen kotiin. Menen sisään. Menen ulos."
"Missä?","where (location)?","Missä se on?"
"kotona, sisällä, ulkoa","at home; inside; from outside","Olen kotona. Olen sisällä. Tulen ulkoa."
"Mistä?","from where?","Mistä sinä tulet?"
"kotoa, sisältä, ulkoa","from home; from inside; from outside","Tulen kotoa. Tulen sisältä. Tulen ulkoa."
"Nainen kantaa laatikot kadulta sisään taloon.","The woman carries the boxes from the street into the house.","Nainen kantaa laatikot kadulta sisään taloon."
"Äiti odottaa Mikkoa.","Mother is waiting for Mikko.","Äiti odottaa Mikkoa."
"Odota, minä katson.","Wait, I'll check.","Odota, minä katson."
"Ketä sinä odotat?","Who are you waiting for?","Ketä sinä odotat?"
"lasku","bill; invoice","Lasku tulee postissa."
"Mitä maksavat nämä kengät?","How much do these shoes cost?","Mitä maksavat nämä kengät?"
"täytyy sitten kirjoittaa ja kysyä","then I have to write and ask","No, täytyy sitten kirjoittaa ja kysyä."
"Huomenta. Täällä on Pedro","Good morning. This is Pedro (speaking).","Huomenta. Täällä on Pedro."
"Mä haluaisin varata saunavuoron","I'd like to book a sauna slot.","Mä haluaisin varata saunavuoron."
"Mikä teidän asunnon numero on?","What's your apartment number?","Mikä teidän asunnon numero on?"
"Miten se maksetaan?","How is it paid?","Miten se maksetaan?"
"Lasku tulee postissa.","The bill comes by mail.","Lasku tulee postissa."
"Onks se tunnin vuoro?","Is it a one-hour slot?","Onks se tunnin vuoro?"
"lattia","floor","Mitä lattialla on? Lattialla on pehmeä matto."
"Paljonko vuokra on?","How much is the rent?","Paljonko vuokra on?"
"Paljonko sen vuokra on?","How much is its rent?","Paljonko sen vuokra on?"
