front,back,hint
"oli","was/were","Hän oli eilen kotona."
"menin sinne junalla","I went there by train","Menin sinne junalla eilen."
"tulin bussilla kotiin","I came home by bus","Tulin bussilla kotiin illalla."
"missä sinä olit eilen?","where were you yesterday?","Missä sinä olit eilen illalla?"
"kauppaan","to the shop","Menen kauppaan ostamaan ruokaa."
"kaupassa","in the shop","Olen kaupassa nyt."
"kaupasta","from the shop","Tulen kaupasta kotiin."
"järvelle","to the lake","Menemme järvelle uimaan."
"järvellä","at the lake","Olemme järvellä koko päivän."
"järveltä","from the lake","Tulemme järveltä kotiin."
"millä?","by what? / how?","Millä sinä matkustat töihin?"
"junalla","by train","Matkustan töihin junalla."
"autolla","by car","Menen kauppaan autolla."
"bussilla","by bus","Tulen kotiin bussilla."
"sinne menee bussi numero 12.","bus number 12 goes there.","Sinne menee bussi numero 12 pysäkiltä."
"on hauskaa matkustaa","it is fun to travel","On hauskaa matkustaa uusiin paikkoihin."
"on tylsää odottaa bussia","it is boring to wait for the bus","On tylsää odottaa bussia sateessa."
"suomalainen","Finnish / a Finn","Hän on suomalainen mies."
"suomalaista","Finnish (partitive)","Puhun suomalaista miestä."
"suomalaisen","Finnish (genitive/accusative)","Tämä on suomalaisen kirja."
"suomalaiseen","into Finnish / to a Finn","Tutustun suomalaiseen kulttuuriin."
"suomalaisessa","in Finnish / in a Finn","Suomalaisessa saunassa on kuuma."
"suomalaisesta","from Finnish / from a Finn","Puhumme suomalaisesta ruoasta."
"kieltä","language (partitive)","Puhun suomen kieltä."
"kielen","language (genitive)","Suomen kielen kurssi alkaa."
"kielessä","in the language","Suomen kielessä on monta sijamuotoa."
"kieleen","into the language","Tutustun suomen kieleen."
"kielestä","from the language","Pidän suomen kielestä."
"järveä","lake (partitive)","Katson kaunista järveä."
"järven","lake (genitive)","Järven vesi on kylmää."
"järvessä","in the lake","Uimme puhtaassa järvessä."
"järveen","into the lake","Hyppään kylmään järveen."
"järvestä","from the lake","Tulemme järvestä pois."
"uudessa","in the new","Asun uudessa talossa."
"uuteen","into the new","Muutamme uuteen kotiin."
"uudesta","from the new","Pidän uudesta autosta."
"mikä on ...?","what is ...?","Mikä on sinun nimesi?"
"mikä paikka?","what place?","Mikä paikka tämä on?"
"minä tykkään järvestä.","I like the lake.","Minä tykkään tästä järvestä."
"minä menen töihin kävellen.","I go to work on foot.","Minä menen töihin kävellen joka päivä."
"me lähdemme kotiin kävellen","we leave for home on foot","Me lähdemme kotiin kävellen kurssin jälkeen."
"kuulua","to belong / be included","Aamiainen kuuluu hintaan."
"niin sinäkin!","you too!","Kiva nähdä! - Niin sinäkin!"
"tuliaisaine","souvenir (material/item)","Tässä on pieni tuliaisaine."
"tulkaa pöytään!","come to the table!","Ruoka on valmista, tulkaa pöytään!"
"miten matka meni?","how did the trip go?","Miten matka meni Tampereelle?"
"vahvistus","confirmation","Vahvistus tulee sähköpostilla."
